event_id,investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,weather_condition,broad_phase_of_flight,publication_date,state,year,calculated_severity,town,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured
20020917X04994,Accident,MKC83LA004A,1982-10-05,"Emporia, Ks",United States,Fatal,Substantial,Airplane,N8836N,Piper,Pa-28-140B,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,05-10-1983,Kansas,1982,Uninjured,Emporia,0.0,0.0,1.0,2.0
20020917X04919,Accident,MIA83LA005,1982-10-05,"Brooksville, Fl",United States,Fatal,Substantial,Airplane,N2447F,Piper,Pa-38-112,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,05-10-1983,Florida,1982,Uninjured,Brooksville,0.0,0.0,0.0,1.0
20020917X04445,Accident,CHI83LA009,1982-10-05,"Lawsing, Il",United States,Fatal,Substantial,Airplane,N63627,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,05-10-1983,Illinois,1982,Uninjured,Lawsing,0.0,0.0,0.0,1.0
20020917X04424,Accident,CHI83FA007,1982-10-05,"Lansing, Il",United States,Fatal,Substantial,Airplane,N2546S,Cessna,T210L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,05-10-1983,Illinois,1982,Serious,Lansing,0.0,3.0,0.0,0.0
20020917X04345,Accident,ATL83LA004,1982-10-05,"Rowland, Nc",United States,Fatal,Substantial,Airplane,N48498,Grumman,G-164B,No,1.0,Reciprocating,Part 91: General Aviation,Ferry,VMC,Takeoff,05-10-1983,North Carolina,1982,Minor,Rowland,0.0,0.0,1.0,0.0
20020917X04904,Accident,MIA83FA006,1982-10-05,"Lake Placid, Fl",United States,Fatal,Substantial,Airplane,N13785,Piper,Pa-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Approach,05-10-1983,Florida,1982,Fatal,Lake Placid,2.0,0.0,0.0,0.0
20020917X04444,Accident,CHI83LA008,1982-10-05,"Sparta, Mi",United States,Fatal,Substantial,Airplane,N2892J,Cessna,T188C,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,VMC,Takeoff,05-10-1983,Michigan,1982,Serious,Sparta,0.0,1.0,0.0,0.0
20020917X04637,Accident,FTW83FA009,1982-10-06,"Hebbronville, Tx",United States,Fatal,Destroyed,Airplane,N732KH,Cessna,210L,Yes,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,06-10-1983,Texas,1982,Fatal,Hebbronville,4.0,0.0,0.0,0.0
20020917X04346,Accident,ATL83LA005,1982-10-06,"Albany, Ga",United States,Fatal,Substantial,Airplane,N737LJ,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,06-10-1983,Georgia,1982,Uninjured,Albany,0.0,0.0,0.0,1.0
20020917X04920,Accident,MIA83LA007,1982-10-07,"Bunnell, Fl",United States,Fatal,Substantial,Airplane,N259ER,Piper,Pa-44-180,No,2.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,07-10-1983,Florida,1982,Uninjured,Bunnell,0.0,0.0,0.0,3.0
20020917X04221,Accident,ANC83FAA01,1982-10-07,"Phillips Field, Ak",United States,Fatal,Substantial,Airplane,N4946M,Piper,Pa-20-A,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,07-10-1983,Alaska,1982,Uninjured,Phillips Field,0.0,0.0,0.0,2.0
20020917X04552,Accident,DEN83LA003,1982-10-07,"Rock Springs, Wy",United States,Fatal,Substantial,Airplane,N6169Z,Cessna,Tu206G,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Landing,07-10-1983,Wyoming,1982,Uninjured,Rock Springs,0.0,0.0,0.0,5.0
20020917X05054,Accident,NYC83FA005,1982-10-08,"Sanbornton, Nh",United States,Fatal,Destroyed,Airplane,N9535C,Piper,Pa-28-161,No,1.0,Reciprocating,Part 91: General Aviation,Personal,IMC,Cruise,08-10-1983,New Hampshire,1982,Fatal,Sanbornton,4.0,0.0,0.0,0.0
20020917X04840,Accident,LAX83LA008,1982-10-08,"Exeter, Ca",United States,Fatal,Destroyed,Airplane,N95714,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,08-10-1983,California,1982,Uninjured,Exeter,0.0,0.0,0.0,2.0
20020917X04330,Accident,ATL83FKW01,1982-10-08,"Gallatin, Tn",United States,Fatal,Destroyed,Airplane,N5313K,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Unknown,08-10-1983,Tennessee,1982,Fatal,Gallatin,2.0,0.0,1.0,0.0
20020917X05147,Accident,SEA83LA004,1982-10-08,"Friday Harbor, Wa",United States,Fatal,Substantial,Airplane,N3053C,Beech,J35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,08-10-1983,Washington,1982,Uninjured,Friday Harbor,0.0,0.0,0.0,1.0
20020917X04314,Accident,ATL83FID01,1982-10-08,"Boones Mill, Va",United States,Fatal,Substantial,Airplane,N3957L,Cessna,172G,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Cruise,08-10-1983,Virginia,1982,Fatal,Boones Mill,1.0,1.0,0.0,0.0
20020917X05154,Accident,SEA83LA012,1982-10-08,"40 Nm Wnw Salmo, Id",United States,Fatal,Substantial,Airplane,N5183U,Cessna,206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Takeoff,08-10-1983,Idaho,1982,Uninjured,40 Nm Wnw Salmo,0.0,0.0,0.0,3.0
20020917X04293,Accident,ATL83FA009,1982-10-08,"Allendale, Sc",United States,Fatal,Substantial,Airplane,N958MC,Beech,58,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,VMC,Cruise,08-10-1983,South Carolina,1982,Uninjured,Allendale,0.0,0.0,0.0,2.0
20020917X04682,Accident,FTW83LA012,1982-10-09,"Fort Worth, Tx",United States,Fatal,Destroyed,Airplane,N89023,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Takeoff,09-10-1983,Texas,1982,Minor,Fort Worth,0.0,0.0,1.0,0.0
20020917X05077,Accident,NYC83LA006,1982-10-09,"Mt. Pleasant, Pa",United States,Fatal,Substantial,Airplane,N63715,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,09-10-1983,Pennsylvania,1982,Uninjured,Mt. Pleasant,0.0,0.0,0.0,2.0
20020917X04923,Accident,MIA83LA010,1982-10-09,"Ft. Myers, Fl",United States,Fatal,Substantial,Airplane,N50950,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,VMC,Landing,09-10-1983,Florida,1982,Uninjured,Ft. Myers,0.0,0.0,0.0,1.0
20020917X04842,Accident,LAX83LA010,1982-10-09,"Sedona, Az",United States,Fatal,Substantial,Airplane,N9248S,Beech,C23,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,09-10-1983,Arizona,1982,Uninjured,Sedona,0.0,0.0,0.0,2.0
20020917X04449,Accident,CHI83LA013,1982-10-09,"Port Huron, Mi",United States,Fatal,Substantial,Airplane,N3700R,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,09-10-1983,Michigan,1982,Minor,Port Huron,0.0,0.0,1.0,1.0
20020917X04347,Accident,ATL83LA007,1982-10-09,"Macon, Ga",United States,Fatal,Substantial,Airplane,N6138V,Beech,S35,No,1.0,Reciprocating,Part 91: General Aviation,Business,VMC,Taxi,09-10-1983,Georgia,1982,Uninjured,Macon,0.0,0.0,0.0,1.0
20020917X04292,Accident,ATL83FA008,1982-10-09,"Montgomery, Al",United States,Fatal,Substantial,Airplane,N45696,Cessna,177Rg,Yes,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,09-10-1983,Alabama,1982,Uninjured,Montgomery,0.0,0.0,0.0,1.0
20020917X04882,Accident,LAX83LVD01,1982-10-10,"Ft. Bragg, Ca",United States,Fatal,Destroyed,Airplane,N56772,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Go-around,10-10-1983,California,1982,Minor,Ft. Bragg,0.0,0.0,1.0,0.0
20020917X04249,Accident,ANC83LAA02,1982-10-10,"Nulato, Ak",United States,Fatal,Destroyed,Airplane,N714SQ,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,10-10-1983,Alaska,1982,Fatal,Nulato,2.0,0.0,0.0,0.0
20020917X05079,Accident,NYC83LA008,1982-10-10,"Grahamsville, Ny",United States,Fatal,Substantial,Airplane,N54177,Cessna,172P,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Maneuvering,10-10-1983,New York,1982,Uninjured,Grahamsville,0.0,0.0,0.0,3.0
20020917X04995,Accident,MKC83LA005,1982-10-10,"Cuba, Mo",United States,Fatal,Substantial,Airplane,N5829B,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,10-10-1983,Missouri,1982,Uninjured,Cuba,0.0,0.0,0.0,1.0
20020917X04887,Accident,LAX83LVM01,1982-10-10,"5Nm East Of Sal, Ca",United States,Fatal,Substantial,Helicopter,N5159B,Bell,47G2,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,VMC,Takeoff,10-10-1983,California,1982,Uninjured,5Nm East Of Sal,0.0,0.0,0.0,1.0
20020917X04883,Accident,LAX83LVD02A,1982-10-10,"Gualala, Ca",United States,Fatal,Substantial,Airplane,N29150,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Takeoff,10-10-1983,California,1982,Uninjured,Gualala,0.0,0.0,0.0,4.0
20020917X04821,Accident,LAX83FUM01,1982-10-10,"Oceanside, Ca",United States,Fatal,Substantial,Airplane,N696B,Beech,A35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Approach,10-10-1983,California,1982,Fatal,Oceanside,4.0,0.0,0.0,0.0
20020917X04448,Accident,CHI83LA012,1982-10-10,"St. Cloud, Mn",United States,Fatal,Substantial,Airplane,N6332P,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Personal,VMC,Landing,10-10-1983,Minnesota,1982,Uninjured,St. Cloud,0.0,0.0,0.0,2.0
